Away_Manager_Name,Away_Team_Country,Away_Team_Gender,Away_Team_Name,Away_Team_Score,Competition_Country,Competition_Name,Competition_Stage,Home_Manager_Name,Home_Team_Country,Home_Team_Gender,Home_Team_Name,Home_Team_Score,Referee_Country,Referee_Name,Season_Name,Stadium_Name
Rolland Courbis,France,male,Montpellier,1,France,Ligue 1,Regular Season,Dominique Arribagé,France,male,Toulouse,1,France,Stéphane Lannoy,2015/2016,Stadium de Toulouse
Patrice Garande,France,male,Caen,0,France,Ligue 1,Regular Season,Ghislain Printant,France,male,Bastia,1,France,Benoît Millot,2015/2016,Stade Armand-Césari
Willy Sagnol,France,male,Bordeaux,0,France,Ligue 1,Regular Season,Thierry Laurey,France,male,Gazélec Ajaccio,2,France,Hakim Ben El Hadj Salem,2015/2016,Stade Ange Casanova (Ajaccio)
Hubert Fournier,France,male,Lyon,1,France,Ligue 1,Regular Season,Jean-Marc Furlan,France,male,Troyes,0,France,Stéphane Jochem,2015/2016,Stade de l''Aube
Sylvain Ripoll,France,male,Lorient,2,France,Ligue 1,Regular Season,Jocelyn Gourvennec,France,male,Guingamp,2,France,Nicolas Rainville,2015/2016,Stade du Roudourou
Laurent Blanc,France,male,Paris Saint-Germain,1,France,Ligue 1,Regular Season,Philippe Jacques William Montanier,France,male,Rennes,0,France,Fredy Fautrel,2015/2016,Roazhon Park
Patrice Garande,France,male,Caen,1,France,Ligue 1,Regular Season,Claude Puel,France,male,OGC Nice,2,France,Jérôme Miguelgorry,2015/2016,Allianz Riviera 
Laurent Blanc,France,male,Paris Saint-Germain,1,France,Ligue 1,Regular Season,Hervé Renard,France,male,Lille,0,France,Fredy Fautrel,2015/2016,Decathlon Arena ? Stade Pierre-Mauroy
Dominique Arribagé,France,male,Toulouse,0,France,Ligue 1,Regular Season,Patrice Garande,France,male,Caen,1,France,Stéphane Jochem,2015/2016,Stade Michel d''Ornano
Michel Der Zakarian,France,male,Nantes,2,France,Ligue 1,Regular Season,Claude Puel,France,male,OGC Nice,1,France,Sébastien Moreira,2015/2016,Allianz Riviera 
Jean-Marc Furlan,France,male,Troyes,0,France,Ligue 1,Regular Season,Willy Sagnol,France,male,Bordeaux,1,France,Saïd Ennjimi,2015/2016,Stade Matmut Atlantique
José Leonardo Nunes Alves Sousa Jardim,Monaco,male,AS Monaco,1,France,Ligue 1,Regular Season,Olivier Guégan,France,male,Stade de Reims,0,France,Frank Schneider,2015/2016,Stade Auguste-Delaune II 
Claude Puel,France,male,OGC Nice,1,France,Ligue 1,Regular Season,Thierry Laurey,France,male,Gazélec Ajaccio,3,France,Johan Hamel,2015/2016,Stade Ange Casanova (Ajaccio)
Philippe Jacques William Montanier,France,male,Rennes,1,France,Ligue 1,Regular Season,Sylvain Ripoll,France,male,Lorient,1,France,Benoît Bastien,2015/2016,Stade Yves Allainmat - Le Moustoir
Ghislain Printant,France,male,Bastia,0,France,Ligue 1,Regular Season,Rolland Courbis,France,male,Montpellier,2,France,Jérôme Miguelgorry,2015/2016,Stade de la Mosson 
Rolland Courbis,France,male,Montpellier,0,France,Ligue 1,Regular Season,Willy Sagnol,France,male,Bordeaux,0,France,Bartolomeu Varela Teles,2015/2016,Stade Matmut Atlantique
Sylvain Ripoll,France,male,Lorient,1,France,Ligue 1,Regular Season,José Miguel González Martín del Campo,France,male,Marseille,1,France,Sébastien Moreira,2015/2016,Orange Vélodrome
Patrice Garande,France,male,Caen,1,France,Ligue 1,Regular Season,Olivier Guégan,France,male,Stade de Reims,0,France,Wilfried Bien,2015/2016,Stade Auguste-Delaune II 
Stéphane Moulin,France,male,Angers,2,France,Ligue 1,Regular Season,Dominique Arribagé,France,male,Toulouse,1,France,Amaury Delerue,2015/2016,Stadium de Toulouse
Hervé Renard,France,male,Lille,1,France,Ligue 1,Regular Season,Jocelyn Gourvennec,France,male,Guingamp,1,France,Hakim Ben El Hadj Salem,2015/2016,Stade du Roudourou
Thierry Laurey,France,male,Gazélec Ajaccio,0,France,Ligue 1,Regular Season,Christophe Galtier,France,male,Saint-Étienne,2,France,Stéphane Jochem,2015/2016,Stade Geoffroy-Guichard 
Laurent Blanc,France,male,Paris Saint-Germain,2,France,Ligue 1,Regular Season,Ghislain Printant,France,male,Bastia,0,France,Lionel Jaffredo,2015/2016,Stade Armand-Césari
Jean-Marc Furlan,France,male,Troyes,0,France,Ligue 1,Regular Season,Michel Der Zakarian,France,male,Nantes,3,France,Mikael Lesage,2015/2016,Stade de la Beaujoire - Louis Fonteneau
Hubert Fournier,France,male,Lyon,1,France,Ligue 1,Regular Season,José Leonardo Nunes Alves Sousa Jardim,Monaco,male,AS Monaco,1,France,Fredy Fautrel,2015/2016,Stade Louis II
Philippe Jacques William Montanier,France,male,Rennes,1,France,Ligue 1,Regular Season,José Leonardo Nunes Alves Sousa Jardim,Monaco,male,AS Monaco,1,France,Tony Chapron,2015/2016,Stade Louis II
José Miguel González Martín del Campo,France,male,Marseille,1,France,Ligue 1,Regular Season,Laurent Blanc,France,male,Paris Saint-Germain,2,France,Benoît Bastien,2015/2016,Parc des Princes 
