season,localTeam,visitorTeam,localGoals,visitorGoals,
1970-71,Cadiz,'Rayo Vallecano',0,0,
1970-71,Deportivo,'Racing de Ferrol',2,2,
1970-71,Betis,Oviedo,1,0,
1970-71,Hercules,Cordoba,2,2,
1970-71,Moscardo,Santander,0,1,
1970-71,Logrones,Burgos,0,1,
1970-71,Langreo,Ontinyent,1,0,
1970-71,'Sant Andreu',Mallorca,1,1,
1970-71,'Calvo Sotelo',Villarreal,4,0,
1970-71,Mallorca,Cadiz,2,1,
1970-71,'Racing de Ferrol',Moscardo,3,1,
1970-71,Burgos,Betis,1,0,
1970-71,Ontinyent,Logrones,1,1,
1970-71,Oviedo,'Calvo Sotelo',0,0,
1970-71,'Rayo Vallecano',Deportivo,1,1,
1970-71,Santander,Hercules,4,1,
1970-71,Cordoba,Castellon,1,0,
1970-71,Pontevedra,Langreo,2,0,
1970-71,Villarreal,'Sant Andreu',1,1,
1970-71,Betis,Logrones,3,2,
1970-71,Santander,Castellon,2,1,
1970-71,Cordoba,Langreo,2,1,
1970-71,'Racing de Ferrol',Hercules,3,0,
1970-71,Oviedo,'Sant Andreu',1,0,
1970-71,Mallorca,Deportivo,2,1,
1970-71,Villarreal,Cadiz,1,0,
1970-71,Pontevedra,Ontinyent,2,0,
1970-71,'Rayo Vallecano',Moscardo,2,1,
1970-71,Burgos,'Calvo Sotelo',3,0,
1970-71,'Calvo Sotelo',Betis,3,1,
1970-71,Logrones,Pontevedra,1,1,
1970-71,Ontinyent,Cordoba,0,0,
1970-71,Langreo,Santander,1,0,
1970-71,Cadiz,Oviedo,0,1,
1970-71,Castellon,'Racing de Ferrol',2,0,
1970-71,Deportivo,Villarreal,2,0,
1970-71,Moscardo,Mallorca,1,1,
1970-71,Hercules,'Rayo Vallecano',1,0,
1970-71,'Sant Andreu',Burgos,1,0,
1970-71,Betis,'Sant Andreu',3,1,
1970-71,Cordoba,Pontevedra,1,2,
1970-71,Oviedo,Deportivo,3,2,
1970-71,Villarreal,Moscardo,3,2,
1970-71,Santander,Ontinyent,3,0,
1970-71,'Racing de Ferrol',Langreo,4,0,
1970-71,Mallorca,Hercules,2,2,
1970-71,'Rayo Vallecano',Castellon,3,0,
1970-71,Burgos,Cadiz,5,0,
1970-71,'Calvo Sotelo',Logrones,1,1,
1970-71,Ontinyent,'Racing de Ferrol',1,1,
1970-71,Cadiz,Betis,1,1,
1970-71,Moscardo,Oviedo,0,0,
1970-71,Castellon,Mallorca,0,0,
1970-71,Langreo,'Rayo Vallecano',0,0,
1970-71,Logrones,Cordoba,0,0,
1970-71,Deportivo,Burgos,2,1,
1970-71,Hercules,Villarreal,2,1,
1970-71,Pontevedra,Santander,1,0,
1970-71,'Sant Andreu','Calvo Sotelo',1,0,
1970-71,Oviedo,Hercules,4,1,
1970-71,Villarreal,Castellon,0,2,
1970-71,'Rayo Vallecano',Ontinyent,0,0,
1970-71,Mallorca,Langreo,3,0,
1970-71,Santander,Cordoba,0,0,
1970-71,Betis,Deportivo,1,1,
1970-71,'Calvo Sotelo',Cadiz,1,2,
1970-71,Burgos,Moscardo,1,0,
1970-71,'Racing de Ferrol',Pontevedra,2,1,
1970-71,'Sant Andreu',Logrones,1,0,
1970-71,Cadiz,'Sant Andreu',2,0,
1970-71,Pontevedra,'Rayo Vallecano',2,1,
1970-71,Ontinyent,Mallorca,0,0,
1970-71,Moscardo,Betis,0,0,
1970-71,Logrones,Santander,4,1,
1970-71,Castellon,Oviedo,2,0,
1970-71,Langreo,Villarreal,2,1,
1970-71,Cordoba,'Racing de Ferrol',2,1,
1970-71,Deportivo,'Calvo Sotelo',1,0,
1970-71,Hercules,Burgos,1,0,
1970-71,Mallorca,Pontevedra,2,1,
1970-71,Cadiz,Logrones,1,1,
1970-71,Burgos,Castellon,1,0,
1970-71,Villarreal,Ontinyent,1,1,
1970-71,'Rayo Vallecano',Cordoba,2,1,
1970-71,'Calvo Sotelo',Moscardo,2,0,
1970-71,Betis,Hercules,3,0,
1970-71,Oviedo,Langreo,4,1,
1970-71,'Racing de Ferrol',Santander,1,1,
1970-71,'Sant Andreu',Deportivo,2,0,
1970-71,Ontinyent,Oviedo,2,1,
1970-71,Pontevedra,Villarreal,3,0,
1970-71,Langreo,Burgos,0,0,
1970-71,Cordoba,Mallorca,0,0,
1970-71,Moscardo,'Sant Andreu',0,0,
1970-71,Castellon,Betis,0,1,
1970-71,Deportivo,Cadiz,1,0,
1970-71,Santander,'Rayo Vallecano',3,3,
1970-71,Hercules,'Calvo Sotelo',2,0,
1970-71,Logrones,'Racing de Ferrol',0,0,
1970-71,Oviedo,Pontevedra,1,2,
1970-71,Betis,Langreo,3,0,
1970-71,'Rayo Vallecano','Racing de Ferrol',2,0,
1970-71,Mallorca,Santander,4,2,
1970-71,'Calvo Sotelo',Castellon,2,2,
1970-71,Villarreal,Cordoba,0,2,
1970-71,Deportivo,Logrones,1,0,
1970-71,Burgos,Ontinyent,4,0,
1970-71,Cadiz,Moscardo,1,0,
1970-71,'Sant Andreu',Hercules,2,0,
1970-71,Pontevedra,Burgos,0,0,
1970-71,Castellon,'Sant Andreu',0,2,
1970-71,Ontinyent,Betis,1,1,
1970-71,Logrones,'Rayo Vallecano',1,0,
1970-71,Santander,Villarreal,2,0,
1970-71,Moscardo,Deportivo,2,0,
1970-71,Cordoba,Oviedo,0,0,
1970-71,Hercules,Cadiz,2,0,
1970-71,'Racing de Ferrol',Mallorca,2,0,
1970-71,Langreo,'Calvo Sotelo',0,2,
1970-71,Burgos,Cordoba,1,0,
1970-71,Deportivo,Hercules,4,1,
1970-71,Betis,Pontevedra,2,0,
1970-71,'Calvo Sotelo',Ontinyent,2,2,
1970-71,Mallorca,'Rayo Vallecano',1,1,
1970-71,Villarreal,'Racing de Ferrol',3,0,
1970-71,Cadiz,Castellon,0,0,
1970-71,Moscardo,Logrones,0,0,
1970-71,Oviedo,Santander,0,0,
1970-71,'Sant Andreu',Langreo,1,1,
1970-71,Pontevedra,'Calvo Sotelo',2,0,
1970-71,Ontinyent,'Sant Andreu',1,0,
1970-71,Logrones,Mallorca,0,0,
1970-71,'Rayo Vallecano',Villarreal,3,0,
1970-71,Cordoba,Betis,1,1,
1970-71,Castellon,Deportivo,0,0,
1970-71,Langreo,Cadiz,0,1,
1970-71,'Racing de Ferrol',Oviedo,2,0,
1970-71,Santander,Burgos,1,0,
1970-71,Hercules,Moscardo,2,1,
1970-71,Hercules,Logrones,0,0,
1970-71,'Sant Andreu',Pontevedra,1,1,
1970-71,Villarreal,Mallorca,1,0,
1970-71,Oviedo,'Rayo Vallecano',0,1,
1970-71,Betis,Santander,3,1,
1970-71,Cadiz,Ontinyent,0,0,
1970-71,Moscardo,Castellon,1,1,
1970-71,Deportivo,Langreo,2,0,
1970-71,'Calvo Sotelo',Cordoba,1,1,
1970-71,Burgos,'Racing de Ferrol',2,1,
1970-71,Pontevedra,Cadiz,2,2,
1970-71,Cordoba,'Sant Andreu',3,0,
1970-71,'Rayo Vallecano',Burgos,1,2,
1970-71,Castellon,Hercules,3,0,
1970-71,Mallorca,Oviedo,1,0,
1970-71,'Racing de Ferrol',Betis,0,0,
1970-71,Ontinyent,Deportivo,1,0,
1970-71,Langreo,Moscardo,2,0,
1970-71,Logrones,Villarreal,3,0,
1970-71,Santander,'Calvo Sotelo',2,0,
1970-71,Castellon,Logrones,1,0,
1970-71,Burgos,Mallorca,1,1,
1970-71,Cadiz,Cordoba,1,1,
1970-71,Deportivo,Pontevedra,1,0,
1970-71,Moscardo,Ontinyent,1,0,
1970-71,Hercules,Langreo,1,0,
1970-71,Betis,'Rayo Vallecano',1,1,
1970-71,Oviedo,Villarreal,0,0,
1970-71,'Calvo Sotelo','Racing de Ferrol',3,0,
1970-71,'Sant Andreu',Santander,2,1,
1970-71,'Racing de Ferrol','Sant Andreu',1,1,
1970-71,Mallorca,Betis,0,1,
1970-71,Logrones,Oviedo,0,1,
1970-71,Ontinyent,Hercules,2,1,
1970-71,'Rayo Vallecano','Calvo Sotelo',2,0,
