Unnamed: 0,Home_Team,Away_team,Home_score,Away_score,Season,Result
105665,FC Sochaux-Montb?iard r?erve,RC Strasbourg Alsace r?erve,1,0,1976-1977,win
86062,Osasuna,Betis,1,0,1987-88,win
18872,Montpellier HSC,Olympique d'Al? en C?ennes,1,0,1983-1984,win
16048,Quimper Kerfeunteun FC,USL Dunkerque,1,0,1979-1980,win
105363,AS Nancy-Lorraine,RC Strasbourg Alsace,1,0,1987-1988,win
56723,FC Melun,Evry FC,1,0,1989-1990,win
110969,Arras Football Association,RC Lens r?erve,1,0,1974-1975,win
42888,US Montagnarde,Stade Malherbe Caen,1,1,1982-1983,draw
22787,AFC Creil,USM Senlis,1,0,1981-1982,win
52236,Hertha BSC,Eintracht Frankfurt,0,1,2017,lose
63715,Grenoble Foot 38,Valenciennes FC,1,1,1951-1952,draw
8528,Cadiz,Levante,1,1,2003-04,draw
43952,'Linares CF',Tenerife,1,0,1983-84,win
118591,'Real Sociedad','Atletico de Madrid',1,0,1970-71,win
74237,Numancia,Cordoba,1,0,2015-16,win
116127,SC Toulon,FC Nantes,1,0,1956-1957,win
87596,Paris FC r?erve,RFC Paris-Neuilly,3,0,1973-1974,win
21911,Bulgn?ille Contrex Vittel FC,Louhans-Cuiseaux FC,1,1,1975-1976,draw
59680,N?es Olympique,Toulouse FC,1,0,2019-2020,win
77110,LB Ch?eauroux,Red Star FC,1,0,1983-1984,win
74331,Stade rennais FC,AS Saint-Etienne,1,1,2014-2015,draw
112029,ASPTT Metz,RC Strasbourg Alsace r?erve,0,1,1980-1981,lose
37576,'Real Madrid',Almeria,2,1,2008-09,win
71895,US Boulogne CO,USL Dunkerque,1,1,2013-2014,draw
112662,US Noeux-les-Mines,CS Sedan r?erve,2,0,1971-1972,win
43466,Association Still-Mutzig,FC Mulhouse,1,1,1967-1968,draw
98611,'Real Madrid',Valencia,3,0,1989-90,win
58663,Valenciennes Fc r?erve,Excelsior AC,1,1,1973-1974,draw
58762,Almeria,Villarreal,1,1,1996-97,draw
824,La Roche VF,Louhans-Cuiseaux FC,1,0,1984-1985,win
41120,FC Gueugnon r?erve,Paris FC,1,0,1992-1993,win
53264,La Roche VF,CO Cerizay,2,0,1977-1978,win
35444,Santander,Tenerife,1,1,2014-15,draw
24985,Olympique Thonon Chablais,Association sportive Cannes,1,0,1983-1984,win
41619,Compostela,Extremadura,1,0,1999-00,win
80372,Tours FC,Chamois niortais FC,1,1,1965-1966,draw
17536,'Bilbao Athletic',Lorca,1,0,1984-85,win
100641,RB Leipzig,Hannover 96,1,0,2017,win
8166,ES Viry-Ch?illon,FCM Aubervilliers,0,0,1992-1993,draw
27715,FCM Aubervilliers,Olympique Noisy-le-Sec,1,1,1996-1997,draw
28796,Almeria,Leganes,1,1,1996-97,draw
42478,LOSC Lille,Stade lavallois MFC,1,0,1999-2000,win
111478,Stade Plabenn?ois,Paris FC,1,1,2009-2010,draw
10030,OGC Nice,Toulouse FC,1,1,1985-1986,draw
46846,Valladolid,'Real Sociedad',1,1,1987-88,draw
27135,LB Ch?eauroux,Amiens SC,1,1,2001-2002,draw
96241,AS Saint-Eug?e,AS B?e,2,0,1961-1962,win
3282,FCSR Haguenau,Olympique Noisy-le-Sec,1,1,1995-1996,draw
120349,Merida,Leganes,1,0,1996-97,win
98235,FC Saint-M?ard-en-Jalles,Stade Poitevin FC,0,1,1978-1979,lose
45102,Angoul?e Charente FC,US Forbach,2,0,1965-1966,win
9785,Montpellier HSC,Olympique de Marseille,2,1,1959-1960,win
104868,US Orl?ns r?erve,AJ Auxerre r?erve,0,1,1986-1987,lose
115768,'Celta de Vigo','CD Malaga',1,0,1972-73,win
117115,AC Ajaccio,AS B?iers,2,0,1965-1966,win
20396,Murcia,'Atletico de Bilbao',1,0,1973-74,win
69536,ESTAC Troyes,AJ Auxerre r?erve,0,0,1990-1991,draw
41735,Elche,'Recreativo de Huelva',1,0,1985-86,win
53171,Quimper Kerfeunteun FC,US Orl?ns,1,1,1983-1984,draw
104618,Stade lavallois MFC,Chamois niortais FC,1,1,2022-2023,draw
48024,US Boulogne CO,Calais RUFC,1,1,2001-2002,draw
83957,FC Girondins de Bordeaux,SC Toulon,1,0,1990-1991,win
86903,AS B?iers,Grenoble Foot 38,1,1,1954-1955,draw
62889,Stade brestois 29,Angers SCO r?erve,1,0,1980-1981,win
88820,Palamos,Figueres,1,0,1992-93,win
108811,Valenciennes FC,FC Lorient,1,1,2011-2012,draw
33330,Montauban FCTG,SC Orange,1,0,1980-1981,win
56551,FC Metz,AC Ajaccio,1,0,1969-1970,win
67756,FC Gueugnon,ESTAC Troyes,1,1,1998-1999,draw
66682,OGC Nice,FC Metz,1,0,1995-1996,win
78879,Sporting Club de Bastia,Amiens SC,1,1,2006-2007,draw
100875,'Celta de Vigo','Real Sociedad',1,1,2013-14,draw
27242,Montpellier HSC r?erve,SC toulon r?erve,1,0,1990-1991,win
105243,SAS Epinal,CS Sedan,1,1,2015-2016,draw
91563,Besan?n RC,Aviron bayonnais FC,1,1,2011-2012,draw
38115,ASM Omnisports,RC Vichy,1,0,1967-1968,win
35234,OGC Nice,FC Sochaux-Montb?iard,2,1,1965-1966,win
9836,Stade de Reims,FC Libourne,1,0,2007-2008,win
23586,FC Metz,Paris Saint-Germain,1,1,1971-1972,draw
6358,Zaragoza,Deportivo,1,1,2012-13,draw
75196,LOSC Lille,OGC Nice,1,0,2008-2009,win
82033,FC Girondins de Bordeaux,Paris Saint-Germain,1,1,2008-2009,draw
25952,La Roche VF,Limoges Football,1,0,1983-1984,win
66243,Olympique de Marseille,RC Strasbourg Alsace,1,0,1988-1989,win
59841,AS Troyes Sainte-Savine,AFC Creil,1,0,1970-1971,win
78313,La Roche VF,SU Agen,1,0,1978-1979,win
47672,Werder Bremen,FC Schalke 04,1,1,2007,draw
37219,FC S?e 34,SO Romorantin,1,0,2003-2004,win
76515,Montpellier HSC,Angers SCO,1,0,1982-1983,win
114542,Toulouse FC r?erve,Pau FC,1,0,1988-1989,win
98782,Zaragoza,'Atletico de Madrid',1,1,1970-71,draw
78971,FC Libourne,Amicale sportive Muret football,1,0,1990-1991,win
66376,GFC Ajaccio,Stade brestois 29,1,1,2017-2018,draw
57223,Association sportive Cannes r?erve,Olympique Lyonnais r?erve,1,0,1992-1993,win
23493,Clermont Foot 63,Angers SCO,1,1,2012-2013,draw
111224,CS Bl?od,Louhans-Cuiseaux FC,1,0,1976-1977,win
95487,Stade Poitevin FC,SO Cholet,1,0,1974-1975,win
68288,AS Aulnoye,Union sportive royenne,2,0,1967-1968,win
74944,Oviedo,Mallorca,1,0,1984-85,win
61933,Mallorca,'Celta de Vigo',1,0,2006-07,win
23204,FC Girondins de Bordeaux,OGC Nice,1,0,2006-2007,win
62140,Zaragoza,'Sporting de Gijon',1,1,2011-12,draw
44753,Almeria,Osasuna,1,1,1996-97,draw
108961, ESTAC Troyes,Aviron bayonnais FC,1,1,2009-2010,draw
98831,Deportivo,Sestao,1,0,1986-87,win
95408,FC Sochaux-Montb?iard r?erve,FC Metz r?erve,1,0,1973-1974,win
39877,Sporting Club de Bastia,FC Bourges,1,0,1993-1994,win
